Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,0.040000,0.040000,0.030000,0.040000,0.040000,164800
2018-01-03,0.040000,0.060000,0.040000,0.050000,0.050000,241300
2018-01-04,0.050000,0.060000,0.050000,0.060000,0.060000,103100
2018-01-05,0.050000,0.080000,0.040000,0.080000,0.080000,448000
2018-01-08,0.060000,0.100000,0.060000,0.100000,0.100000,131800
2018-01-09,0.100000,0.120000,0.070000,0.120000,0.120000,51200
2018-01-10,0.120000,0.130000,0.120000,0.130000,0.130000,71900
2018-01-11,0.100000,0.140000,0.090000,0.140000,0.140000,75900
2018-01-12,0.100000,0.140000,0.080000,0.140000,0.140000,31800
2018-01-16,0.150000,0.150000,0.080000,0.100000,0.100000,10500
2018-01-17,0.100000,0.140000,0.090000,0.140000,0.140000,14200
2018-01-18,0.150000,0.150000,0.090000,0.140000,0.140000,76300
2018-01-19,0.130000,0.140000,0.130000,0.140000,0.140000,17000
2018-01-22,0.090000,0.110000,0.090000,0.110000,0.110000,216600
2018-01-23,0.110000,0.110000,0.110000,0.110000,0.110000,13900
2018-01-24,0.110000,0.110000,0.090000,0.110000,0.110000,4000
2018-01-25,0.110000,0.110000,0.110000,0.110000,0.110000,5000
2018-01-26,0.100000,0.100000,0.100000,0.100000,0.100000,300
2018-01-29,0.100000,0.100000,0.100000,0.100000,0.100000,10000
2018-01-30,0.070000,0.100000,0.070000,0.100000,0.100000,6300
2018-01-31,0.100000,0.100000,0.100000,0.100000,0.100000,200
2018-02-01,0.080000,0.100000,0.080000,0.080000,0.080000,5200
2018-02-02,0.100000,0.100000,0.100000,0.100000,0.100000,1200
2018-02-05,0.080000,0.100000,0.080000,0.100000,0.100000,2500
2018-02-06,0.100000,0.100000,0.090000,0.090000,0.090000,2600
2018-02-07,0.080000,0.080000,0.080000,0.080000,0.080000,8800
2018-02-08,0.080000,0.080000,0.080000,0.080000,0.080000,0
2018-02-09,0.080000,0.100000,0.080000,0.100000,0.100000,39200
2018-02-12,0.100000,0.100000,0.100000,0.100000,0.100000,1100
2018-02-13,0.100000,0.100000,0.100000,0.100000,0.100000,200
2018-02-14,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-02-15,0.100000,0.100000,0.100000,0.100000,0.100000,3000
2018-02-16,0.100000,0.100000,0.100000,0.100000,0.100000,2000
2018-02-20,0.100000,0.100000,0.100000,0.100000,0.100000,100
2018-02-21,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-02-22,0.080000,0.100000,0.080000,0.100000,0.100000,1100
2018-02-23,0.080000,0.080000,0.080000,0.080000,0.080000,5000
2018-02-26,0.100000,0.100000,0.100000,0.100000,0.100000,200
2018-02-27,0.080000,0.080000,0.080000,0.080000,0.080000,1000
2018-02-28,0.080000,0.080000,0.080000,0.080000,0.080000,0
2018-03-01,0.100000,0.100000,0.100000,0.100000,0.100000,30000
2018-03-02,0.100000,0.100000,0.100000,0.100000,0.100000,600
2018-03-05,0.090000,0.090000,0.090000,0.090000,0.090000,10000
2018-03-06,0.090000,0.090000,0.090000,0.090000,0.090000,0
2018-03-07,0.100000,0.100000,0.100000,0.100000,0.100000,200
2018-03-08,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-03-09,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-03-12,0.080000,0.100000,0.080000,0.100000,0.100000,3100
2018-03-13,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-03-14,0.100000,0.100000,0.100000,0.100000,0.100000,1300
2018-03-15,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-03-16,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-03-19,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-03-20,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-03-21,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-03-22,0.080000,0.100000,0.080000,0.100000,0.100000,3700
2018-03-23,0.100000,0.100000,0.080000,0.100000,0.100000,4500
2018-03-26,0.100000,0.100000,0.100000,0.100000,0.100000,70200
2018-03-27,0.100000,0.110000,0.100000,0.100000,0.100000,17900
2018-03-28,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-03-29,0.100000,0.110000,0.100000,0.110000,0.110000,6100
2018-04-02,0.090000,0.110000,0.070000,0.110000,0.110000,400
2018-04-03,0.110000,0.110000,0.110000,0.110000,0.110000,1000
2018-04-04,0.100000,0.100000,0.100000,0.100000,0.100000,30000
